"name","team_name","game_date","season","espn_player_id","team_id","espn_game_id","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","dribbles","touch_time","defender_name","defender_distance","shot_clock"
"Avery Bradley","Boston Celtics","2015-12-12",2015,4240,1610612738,400828232,1,9,57,0,"Jump Shot","3PT Field Goal",22.5,"Charlotte Hornets",-232,41,0,0.7,"Walker, Kemba",3.4,15.1
"Chandler Parsons","Dallas Mavericks","2015-12-12",2015,6466,1610612742,400828237,1,7,1,0,"Jump Shot","3PT Field Goal",24.2,"Washington Wizards",-6,242,0,0.8,"Porter, Otto",4.8,11.2
"Kent Bazemore","Atlanta Hawks","2015-12-12",2015,6637,1610612737,400828234,4,9,31,0,"Jump Shot","3PT Field Goal",25.8,"San Antonio Spurs",-47,242,0,0.9,"Leonard, Kawhi",12.7,14
"Kemba Walker","Charlotte Hornets","2015-12-12",2015,6479,1610612766,400828232,4,2,25,0,"Jump Shot","3PT Field Goal",26.4,"Boston Celtics",101,228,0,1.2,"Turner, Evan",4.3,0.8
"Raymond Felton","Dallas Mavericks","2015-12-12",2015,2753,1610612742,400828237,1,8,1,0,"Jump Shot","3PT Field Goal",22.7,"Washington Wizards",-223,2,0,1,"Porter, Otto",4.8,21.3
"Joe Johnson","Brooklyn Nets","2015-12-12",2015,1007,1610612751,400828231,3,10,44,0,"Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-183,170,0,1.2,"Jordan, DeAndre",19.3,17.1
"Rodney Hood","Utah Jazz","2015-12-13",2015,2581177,1610612762,400828243,2,9,49,1,"Jump Shot","3PT Field Goal",24.6,"Oklahoma City Thunder",200,134,1,2.8,"Morrow, Anthony",4.3,2.8
"Charlie Villanueva","Dallas Mavericks","2015-12-12",2015,2792,1610612742,400828237,3,2,48,0,"Jump Shot","3PT Field Goal",24.5,"Washington Wizards",-163,175,0,0.8,"Neal, Gary",7,9.9
"PJ Hairston","Charlotte Hornets","2015-12-12",2015,2594816,1610612766,400828232,3,6,15,0,"Jump Shot","3PT Field Goal",27.5,"Boston Celtics",92,249,0,1,"Thomas, Isaiah",5.8,12.7
"Eric Gordon","New Orleans Pelicans","2015-12-12",2015,3431,1610612740,400828235,3,2,13,0,"Jump Shot","3PT Field Goal",23.9,"Chicago Bulls",122,219,0,0.9,"McDermott, Doug",3.6,12.9
"Wesley Matthews","Dallas Mavericks","2015-12-12",2015,4032,1610612742,400828237,1,9,52,0,"Jump Shot","3PT Field Goal",25.4,"Washington Wizards",143,203,0,0.6,"Wall, John",4.7,1
"Trevor Ariza","Houston Rockets","2015-12-12",2015,2426,1610612745,400828236,1,3,56,0,"Jump Shot","3PT Field Goal",25.7,"Los Angeles Lakers",97,218,0,0.8,"Bryant, Kobe",3.4,19.3
"CJ McCollum","Portland Trail Blazers","2015-12-11",2015,2490149,1610612757,400828230,3,11,37,0,"Jump Shot","3PT Field Goal",24.6,"Phoenix Suns",28,239,1,2,"Bledsoe, Eric",8.6,4.4
"Kobe Bryant","Los Angeles Lakers","2015-12-12",2015,110,1610612747,400828236,2,6,8,0,"Jump Shot","3PT Field Goal",30.7,"Houston Rockets",173,224,5,4.9,"Harden, James",6.2,4
"Jose Calderon","New York Knicks","2015-12-12",2015,2806,1610612752,400828239,1,8,59,0,"Jump Shot","3PT Field Goal",22.5,"Portland Trail Blazers",230,-5,0,1.1,"Lillard, Damian",9.5,10.1
"Khris Middleton","Milwaukee Bucks","2015-12-12",2015,6609,1610612749,400828238,3,7,34,0,"Jump Shot","3PT Field Goal",24.5,"Golden State Warriors",-173,200,0,0.9,"Thompson, Klay",3.1,7.3
"Jae Crowder","Boston Celtics","2015-12-12",2015,6581,1610612738,400828232,1,6,3,0,"Jump Shot","3PT Field Goal",23.7,"Charlotte Hornets",130,219,0,1.1,"Batum, Nicolas",6,16.4
"Marvin Williams","Charlotte Hornets","2015-12-12",2015,2797,1610612766,400828232,4,2,21,0,"Jump Shot","3PT Field Goal",25.8,"Boston Celtics",-225,126,0,0.7,"Bradley, Avery",5.8,22.5
"Marvin Williams","Charlotte Hornets","2015-12-12",2015,2797,1610612766,400828232,1,9,29,0,"Jump Shot","3PT Field Goal",24.3,"Boston Celtics",153,198,0,0.8,"Johnson, Amir",5.8,11.8
"Wesley Johnson","Los Angeles Clippers","2015-12-12",2015,4247,1610612746,400828231,1,3,42,0,"Jump Shot","3PT Field Goal",22.5,"Brooklyn Nets",-233,-1,0,0.8,"Jack, Jarrett",4.9,12.7
"Jimmy Butler","Chicago Bulls","2015-12-12",2015,6430,1610612741,400828235,1,8,55,0,"Jump Shot","3PT Field Goal",24.3,"New Orleans Pelicans",-169,193,0,0.9,"Evans, Tyreke",5.8,19.3
